video_format_bitrate_vs_wlan0_http11_l4,total_wait_time_vs_wlan0_http11_l4,total_urls_vs_wlan0_http11_l4,RSSI_vs_wlan0_http11_l4,Link Speed_vs_wlan0_http11_l4,Total Buffer_vs_wlan0_http11_l4,Total Errors_vs_wlan0_http11_l4,Min_Video_Rate_vs_wlan0_http11_l4,Max_Video_Rate_vs_wlan0_http11_l4,Avg_Video_Rate_vs_wlan0_http11_l4,bytes_rd_vs_wlan0_http11_l4,rx rate_vs_wlan0_http11_l4 bps,frame_rate_vs_wlan0_http11_l4,Video Quality_vs_wlan0_http11_l4,overall_video_format_bitrate,timestamp,iteration,start_time,end_time,remaining_Time,status
0.0,0.0,0,-43,433 Mbps,1,0,0.0,0.0,0.0,80846580,10811076,-1,"1,920X1,080",0.0,17:22:43,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,3.11,80846580,10811076,-1,"1,920X1,080",6.22,17:22:45,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,4.1466666666666665,80846580,10811076,-1,"1,920X1,080",6.22,17:22:46,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,4.665,80846580,10811076,-1,"1,920X1,080",6.22,17:22:48,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,4.976,80846580,10811076,-1,"1,920X1,080",6.22,17:22:49,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-42,433 Mbps,1,0,6.22,6.22,5.183333333333333,80846580,10811076,-1,"1,920X1,080",6.22,17:22:50,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-42,433 Mbps,1,0,6.22,6.22,5.331428571428572,80846580,10811076,-1,"1,920X1,080",6.22,17:22:52,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-42,433 Mbps,1,0,6.22,6.22,5.4425,80846580,10811076,-1,"1,920X1,080",6.22,17:22:53,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-42,433 Mbps,1,0,6.22,6.22,5.528888888888889,80846580,10811076,-1,"1,920X1,080",6.22,17:22:54,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-42,433 Mbps,1,0,6.22,6.22,5.598,80846580,10811076,-1,"1,920X1,080",6.22,17:22:56,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-42,433 Mbps,1,0,6.22,6.22,5.654545454545454,80846580,10811076,-1,"1,920X1,080",6.22,17:22:57,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,5.701666666666667,80846580,10811076,-1,"1,920X1,080",6.22,17:22:59,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,5.741538461538462,80846580,10811076,-1,"1,920X1,080",6.22,17:23:00,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.48,0,-43,433 Mbps,1,0,6.22,6.22,5.775714285714286,80846580,10811076,-1,"1,920X1,080",6.22,17:23:01,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.29,0,-43,433 Mbps,1,0,6.22,6.22,5.8053333333333335,57672948,23460977,-1,"1,920X1,080",6.22,17:23:03,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.29,0,-43,433 Mbps,1,0,6.22,6.22,5.83125,57672948,23460977,-1,"1,920X1,080",6.22,17:23:04,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.29,0,-43,433 Mbps,1,0,6.22,6.22,5.854117647058823,57672948,23460977,-1,"1,920X1,080",6.22,17:23:05,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.29,0,-43,433 Mbps,1,0,6.22,6.22,5.874444444444444,63930340,20637669,-1,"1,920X1,080",6.22,17:23:07,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.29,0,-43,433 Mbps,1,0,6.22,6.22,5.892631578947368,63930340,20637669,-1,"1,920X1,080",6.22,17:23:08,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
6.22,0.29,0,-43,433 Mbps,1,0,6.22,6.22,5.909,63930340,20637669,-1,"1,920X1,080",6.22,17:23:10,1,2025-10-28 17:22:32,2025-10-28 17:23:32,< 1 min,Running
